408013351,13351,4080,SIG:W1038(PL) CLAPHAM YARD(SDG6),DMK8,5.8413
408012484,12484,4080,SIG:VS086(CO) FACTORY JN [HH04],MUB,7.6044
408013347,13347,4080,SIG:W928(CO) QUEENSTOWN RD(WNR),SHE1,4.299
408012478,12478,4080,SIG:VS068(CO) LONGHEDGE [HH01],GMM2,4.2557
408012679,12679,4080,SIG:VC569(CO) BATTERSEA-POUPARTS,UWC1,2.9793
408012682,12682,4080,SIG:VC577(CO) POUPARTS JN,CUW1,3.4748
408013197,13197,4080,SIG:W90(CO) QUEENSTOWN RD(MAIN),CMN1,3.4898
408013198,13198,4080,SIG:W92(CO) SHEEPCOTE LN(MAIN),NCM1,3.3625
408013199,13199,4080,SIG:W96(CO) QUEENSTOWN RD (WNR),EHS1,5.2022
408013202,13202,4080,SIG:W102(CO) SHEEPCOTE LN(MAIN),CNM1,4.2555
408013205,13205,4080,SIG:W113(CO) QUEENSTOWN RD(MAIN),MNC1,4.3634
408013207,13207,4080,SIG:W117(CO) QUEENSTOWN RD(WNR),SEH1,3.3631
408013211,13211,4080,SIG:W127(CO) SHEEPCOTE LN(WNR),ESH1,3.2546
408013349,13349,4080,SIG:W1032(PL) CLAPHAM YARD(SDG1),MKD8,3.5534
408028519,28519,4080,"",UWC1,-1
408028590,28590,4080,"",CUW1,-1
408028607,28607,4080,"",WUC1,-1
408028677,28677,4080,"",UCW1,-1
408028679,28679,4080,"",WUC1,-1
408028655,28655,4080,"",UCW1,-1
408028521,28521,4080,"",UCW1,-1
408018430,18430,4080,"",MNC1,-1
408013204,13204,4080,SIG:W110(CO) CLAPHAM JCN(MAIN),CMN1,4.8197
408012465,12465,4080,SIG:VS584(LED)(PL) STEWARTS LANE [HH03],CGT,1.5092
408012481,12481,4080,SIG:VS079(CO) STEWARTS LANE [HH03],TCG,2.6477
408013348,13348,4080,SIG:W1031(PL) CLAPHAM YARD(SDG1),DKM8,4.5762
324728655,28655,3247,"",UWC1,-1
324729651,29651,3247,"",XMM,-1
324729590,29590,3247,"",XMM,-1
324728620,28620,3247,"",WCU1,-1
324728688,28688,3247,"",CWU1,-1
324729634,29634,3247,"",XMM,-1
324729652,29652,3247,"",XMM,-1
324729628,29628,3247,"",MMX,-1
324729654,29654,3247,"",XMM,-1
324729629,29629,3247,"",MXM,-1
324728694,28694,3247,"",UCW1,-1
324728523,28523,3247,"",WCU1,-1
324729591,29591,3247,"",MXM,-1
324729631,29631,3247,"",XMM,-1
324729632,29632,3247,"",MXM,-1
324729656,29656,3247,"",MXM,-1
324728608,28608,3247,"",CUW1,-1
324728525,28525,3247,"",WUC1,-1
324728699,28699,3247,"",WUC1,-1
324713256,13256,3247,SIG:W302(CO) CLAPHAM JCN(WNR),SHE1,3.8543
324713255,13255,3247,SIG:W300(CO) CLAPHAM JCN(WNR),EHS1,6.2091
324713358,13358,3247,SIG:W304(CO) CLAPHAM JUNCTION,MMG3,6.3703
324713347,13347,3247,SIG:W928(CO) QUEENSTOWN RD(WNR),HES1,4.959
324713207,13207,3247,SIG:W117(CO) QUEENSTOWN RD(WNR),SHE1,3.4831
324713205,13205,3247,SIG:W113(CO) QUEENSTOWN RD(MAIN),CMN1,4.3034
324712679,12679,3247,SIG:VC569(CO) BATTERSEA-POUPARTS,CWU1,1.9893
324712478,12478,3247,SIG:VS068(CO) LONGHEDGE [HH01],MGM2,3.7657
324713197,13197,3247,SIG:W90(CO) QUEENSTOWN RD(MAIN),MNC1,5.0698
324713198,13198,3247,SIG:W92(CO) SHEEPCOTE LN(MAIN),CNM1,4.5725
324728677,28677,3247,"",CWU1,-1
324728590,28590,3247,"",WUC1,-1
324713199,13199,3247,SIG:W96(CO) QUEENSTOWN RD (WNR),EHS1,3.9522
324712682,12682,3247,SIG:VC577(CO) POUPARTS JN,CUW1,4.0048
3247946,946,3247,SIG:W121(CO) SHEEPCOTE LN(MAIN),NMC1,3.7096
324713211,13211,3247,SIG:W127(CO) SHEEPCOTE LN(WNR),EHS1,4.8946
324713202,13202,3247,SIG:W102(CO) SHEEPCOTE LN(MAIN),MCN1,4.9055
324713349,13349,3247,SIG:W1032(PL) CLAPHAM YARD(SDG1),MKD8,4.3534
324713348,13348,3247,SIG:W1031(PL) CLAPHAM YARD(SDG1),KDM8,5.7962
324713350,13350,3247,SIG:W1036(PL) CLAPHAM YARD(SDG3),MDK8,3.6206
324713351,13351,3247,SIG:W1038(PL) CLAPHAM YARD(SDG6),KMD8,4.6413
324713206,13206,3247,SIG:W116(CO) CLAPHAM JCN(WNR),SEH1,5.4528
361828655,28655,3618,"",UWC1,-1
361829651,29651,3618,"",MXM,-1
361829590,29590,3618,"",XMM,-1
361828620,28620,3618,"",UCW1,-1
361828688,28688,3618,"",WUC1,-1
361829652,29652,3618,"",XMM,-1
361829634,29634,3618,"",XMM,-1
361829628,29628,3618,"",MXM,-1
361829654,29654,3618,"",MMX,-1
361829629,29629,3618,"",MXM,-1
361828523,28523,3618,"",CWU1,-1
361828694,28694,3618,"",CUW1,-1
361829591,29591,3618,"",XMM,-1
361829631,29631,3618,"",XMM,-1
361829632,29632,3618,"",MXM,-1
361829656,29656,3618,"",MMX,-1
361828608,28608,3618,"",CUW1,-1
361828699,28699,3618,"",WUC1,-1
361828525,28525,3618,"",CWU1,-1
361813256,13256,3618,SIG:W302(CO) CLAPHAM JCN(WNR),SHE1,4.0343
361813255,13255,3618,SIG:W300(CO) CLAPHAM JCN(WNR),EHS1,4.4291
361813358,13358,3618,SIG:W304(CO) CLAPHAM JUNCTION,MGM3,5.8403
361813347,13347,3618,SIG:W928(CO) QUEENSTOWN RD(WNR),SHE1,4.749
361813207,13207,3618,SIG:W117(CO) QUEENSTOWN RD(WNR),SHE1,3.3531
361813205,13205,3618,SIG:W113(CO) QUEENSTOWN RD(MAIN),NMC1,3.8234
361812679,12679,3618,SIG:VC569(CO) BATTERSEA-POUPARTS,CUW1,2.0693
361812478,12478,3618,SIG:VS068(CO) LONGHEDGE [HH01],GMM2,4.2757
361813197,13197,3618,SIG:W90(CO) QUEENSTOWN RD(MAIN),CNM1,3.2498
361813198,13198,3618,SIG:W92(CO) SHEEPCOTE LN(MAIN),MNC1,4.9725
361828677,28677,3618,"",UWC1,-1
361828590,28590,3618,"",UWC1,-1
361813199,13199,3618,SIG:W96(CO) QUEENSTOWN RD (WNR),ESH1,4.7022
361812682,12682,3618,SIG:VC577(CO) POUPARTS JN,CUW1,4.0648
3618946,946,3618,SIG:W121(CO) SHEEPCOTE LN(MAIN),MCN1,3.6196
361813211,13211,3618,SIG:W127(CO) SHEEPCOTE LN(WNR),SHE1,3.4246
361813202,13202,3618,SIG:W102(CO) SHEEPCOTE LN(MAIN),NMC1,3.8955
361813349,13349,3618,SIG:W1032(PL) CLAPHAM YARD(SDG1),KDM8,3.3334
361813348,13348,3618,SIG:W1031(PL) CLAPHAM YARD(SDG1),DMK8,3.7762
361813350,13350,3618,SIG:W1036(PL) CLAPHAM YARD(SDG3),KMD8,4.0906
361813351,13351,3618,SIG:W1038(PL) CLAPHAM YARD(SDG6),DKM8,3.7113
361813206,13206,3618,SIG:W116(CO) CLAPHAM JCN(WNR),SEH1,4.2628
277912461,12461,2779,SIG:VS567(LED)(PL) MARCO POLO [HH02],TCG,2.6436
277912465,12465,2779,SIG:VS584(LED)(PL) STEWARTS LANE [HH03],CGT,2.2392
277912476,12476,2779,SIG:VS062(CO) STEWARTS LANE [HH01],QTC1,4.0025
277913347,13347,2779,SIG:W928(CO) QUEENSTOWN RD(WNR),HSE1,4.729
277913207,13207,2779,SIG:W117(CO) QUEENSTOWN RD(WNR),HES1,3.3831
277913205,13205,2779,SIG:W113(CO) QUEENSTOWN RD(MAIN),MNC1,3.6934
277912462,12462,2779,SIG:VS569(LED)(PL) MARCO POLO [HH02],CTG,3.5876
277912463,12463,2779,SIG:VS572(LED)(PL) MARCO POLO [HH02],TGC,3.8292
277913188,13188,2779,SIG:W70(CO) NINE ELMS(MAIN),NCM1,2.6989
278712461,12461,2787,SIG:VS567(LED)(PL) MARCO POLO [HH02],TCG,2.9436
278712465,12465,2787,SIG:VS584(LED)(PL) STEWARTS LANE [HH03],CTG,2.3392
278712476,12476,2787,SIG:VS062(CO) STEWARTS LANE [HH01],TQC1,2.5525
278713347,13347,2787,SIG:W928(CO) QUEENSTOWN RD(WNR),HES1,3.629
278713207,13207,2787,SIG:W117(CO) QUEENSTOWN RD(WNR),EHS1,4.1431
278713205,13205,2787,SIG:W113(CO) QUEENSTOWN RD(MAIN),NMC1,5.0434
278712679,12679,2787,SIG:VC569(CO) BATTERSEA-POUPARTS,CUW1,3.9393
278712478,12478,2787,SIG:VS068(CO) LONGHEDGE [HH01],MMG2,3.6157
278713197,13197,2787,SIG:W90(CO) QUEENSTOWN RD(MAIN),NCM1,4.4298
278713198,13198,2787,SIG:W92(CO) SHEEPCOTE LN(MAIN),CMN1,4.6325
278713199,13199,2787,SIG:W96(CO) QUEENSTOWN RD (WNR),ESH1,3.3222
278728590,28590,2787,"",WUC1,-1
278728677,28677,2787,"",UCW1,-1
278712682,12682,2787,SIG:VC577(CO) POUPARTS JN,WUC1,2.1748
2787946,946,2787,SIG:W121(CO) SHEEPCOTE LN(MAIN),CNM1,5.1696
278713211,13211,2787,SIG:W127(CO) SHEEPCOTE LN(WNR),EHS1,3.2746
278728679,28679,2787,"",WCU1,-1
278728607,28607,2787,"",WUC1,-1
278728519,28519,2787,"",UCW1,-1
278713202,13202,2787,SIG:W102(CO) SHEEPCOTE LN(MAIN),NMC1,3.2755
278713349,13349,2787,SIG:W1032(PL) CLAPHAM YARD(SDG1),DKM8,4.2934
278713348,13348,2787,SIG:W1031(PL) CLAPHAM YARD(SDG1),MKD8,3.6262
278713350,13350,2787,SIG:W1036(PL) CLAPHAM YARD(SDG3),KDM8,4.6806
278713351,13351,2787,SIG:W1038(PL) CLAPHAM YARD(SDG6),DMK8,4.4913
278713206,13206,2787,SIG:W116(CO) CLAPHAM JCN(WNR),EHS1,4.1828
